professions_original	profession	occupation_dist	prof_gender	female_dist	male_dist	major_occupation_group	major_occupation_group_dist	occupational_subgroup	occupational_subgroup_dist	occupational_category	occupational_category_dist
Security and fire alarm systems installers	security system installer	1.2	male_dominated	0.012	0.988	Natural resources, construction, and maintenance occupations	6.0			Installation, maintenance, and repair occupations	4.5
Highway maintenance workers	highway maintenance worker	1.3	male_dominated	0.013	0.987	Natural resources, construction, and maintenance occupations	6.0			Construction and extraction occupations	4.3
Heavy vehicle and mobile equipment service technicians and mechanics	heavy vehicle technician	1.5	male_dominated	0.015	0.985	Natural resources, construction, and maintenance occupations	6.0			Installation, maintenance, and repair occupations	4.5
Cement masons, concrete finishers, and terrazzo workers	cement mason	1.8	male_dominated	0.018	0.982	Natural resources, construction, and maintenance occupations	6.0			Construction and extraction occupations	4.3
Electrical power-line installers and repairers	electrical installer	1.8	male_dominated	0.018	0.982	Natural resources, construction, and maintenance occupations	6.0			Installation, maintenance, and repair occupations	4.5
Tree trimmers and pruners	tree trimmer	1.8	male_dominated	0.018	0.982	Service occupations	57.5			Building and grounds cleaning and maintenance occupations	40.7
Carpet, floor, and tile installers and finishers	floor installer	2.0	male_dominated	0.02	0.98	Natural resources, construction, and maintenance occupations	6.0			Construction and extraction occupations	4.3
Construction equipment operators	construction equipment operator	2.3	male_dominated	0.023	0.977	Natural resources, construction, and maintenance occupations	6.0			Construction and extraction occupations	4.3
Bus and truck mechanics and diesel engine specialists	bus mechanic	2.8	male_dominated	0.028	0.972	Natural resources, construction, and maintenance occupations	6.0			Installation, maintenance, and repair occupations	4.5
Electricians	electrician	2.9	male_dominated	0.029	0.971	Natural resources, construction, and maintenance occupations	6.0			Construction and extraction occupations	4.3
Brickmasons, blockmasons, and stonemasons	brickmason	2.9	male_dominated	0.029	0.971	Natural resources, construction, and maintenance occupations	6.0			Construction and extraction occupations	4.3
Heating, air conditioning, and refrigeration mechanics and installers	heating mechanic	3.0	male_dominated	0.03	0.97	Natural resources, construction, and maintenance occupations	6.0			Installation, maintenance, and repair occupations	4.5
Plumbers, pipefitters, and steamfitters	plumber	3.2	male_dominated	0.032	0.968	Natural resources, construction, and maintenance occupations	6.0			Construction and extraction occupations	4.3
Automotive service technicians and mechanics	automotive technician	3.2	male_dominated	0.032	0.968	Natural resources, construction, and maintenance occupations	6.0			Installation, maintenance, and repair occupations	4.5
Electrical and electronic engineering technologists and technicians	electrical technologist	3.4	male_dominated	0.034	0.966	Management,  professional, and related occupations	52.3	Professional and related occupations	57.4	Architecture and engineering occupations	17.2
Construction laborers	construction laborer	3.5	male_dominated	0.035	0.965	Natural resources, construction, and maintenance occupations	6.0			Construction and extraction occupations	4.3
Railroad conductors and yardmasters	conductor	3.9	male_dominated	0.039	0.961	Production, transportation, and material moving occupations	24.5			Transportation and material moving occupations	21.7
Roofers	roofer	4.1	male_dominated	0.041	0.959	Natural resources, construction, and maintenance occupations	6.0			Construction and extraction occupations	4.3
Drywall installers, ceiling tile installers, and tapers	taper	4.2	male_dominated	0.042	0.958	Natural resources, construction, and maintenance occupations	6.0			Construction and extraction occupations	4.3
Carpenters	carpenter	4.2	male_dominated	0.042	0.958	Natural resources, construction, and maintenance occupations	6.0			Construction and extraction occupations	4.3
Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers	mobile equipment mechanic	4.2	male_dominated	0.042	0.958	Natural resources, construction, and maintenance occupations	6.0			Installation, maintenance, and repair occupations	4.5
Industrial and refractory machinery mechanics	industrial machinery mechanic	4.4	male_dominated	0.044	0.956	Natural resources, construction, and maintenance occupations	6.0			Installation, maintenance, and repair occupations	4.5
Computer numerically controlled tool operators and programmers	computer controlled tool operator	4.6	male_dominated	0.046	0.954	Production, transportation, and material moving occupations	24.5			Production occupations	28.8
Machinists	machinist	4.8	male_dominated	0.048	0.952	Production, transportation, and material moving occupations	24.5			Production occupations	28.8
Automotive body and related repairers	repairer	4.9	male_dominated	0.049	0.951	Natural resources, construction, and maintenance occupations	6.0			Installation, maintenance, and repair occupations	4.5
Crane and tower operators	crane operator	5.1	male_dominated	0.051	0.949	Production, transportation, and material moving occupations	24.5			Transportation and material moving occupations	21.7
Maintenance and repair workers, general	maintenance worker	5.1	male_dominated	0.051	0.949	Natural resources, construction, and maintenance occupations	6.0			Installation, maintenance, and repair occupations	4.5
First-line supervisors of construction trades and extraction workers	construction supervisor	6.0	male_dominated	0.06	0.94	Natural resources, construction, and maintenance occupations	6.0			Construction and extraction occupations	4.3
