professions_original	profession	occupation_dist	prof_gender	female_dist	male_dist	major_occupation_group	major_occupation_group_dist	occupational_subgroup	occupational_subgroup_dist	occupational_category	occupational_category_dist
Security and fire alarm systems installers	security system installer	1.2	male_dominated	0.012	0.988	Natural resources, construction, and maintenance occupations	6.0			Installation, maintenance, and repair occupations	4.5
Heavy vehicle and mobile equipment service technicians and mechanics	heavy vehicle technician	1.5	male_dominated	0.015	0.985	Natural resources, construction, and maintenance occupations	6.0			Installation, maintenance, and repair occupations	4.5
Tree trimmers and pruners	tree trimmer	1.8	male_dominated	0.018	0.982	Service occupations	57.5			Building and grounds cleaning and maintenance occupations	40.7
Construction equipment operators	construction equipment operator	2.3	male_dominated	0.023	0.977	Natural resources, construction, and maintenance occupations	6.0			Construction and extraction occupations	4.3
Brickmasons, blockmasons, and stonemasons	brickmason	2.9	male_dominated	0.029	0.971	Natural resources, construction, and maintenance occupations	6.0			Construction and extraction occupations	4.3
Electricians	electrician	2.9	male_dominated	0.029	0.971	Natural resources, construction, and maintenance occupations	6.0			Construction and extraction occupations	4.3
Heating, air conditioning, and refrigeration mechanics and installers	heating mechanic	3.0	male_dominated	0.03	0.97	Natural resources, construction, and maintenance occupations	6.0			Installation, maintenance, and repair occupations	4.5
Construction laborers	construction laborer	3.5	male_dominated	0.035	0.965	Natural resources, construction, and maintenance occupations	6.0			Construction and extraction occupations	4.3
Roofers	roofer	4.1	male_dominated	0.041	0.959	Natural resources, construction, and maintenance occupations	6.0			Construction and extraction occupations	4.3
Drywall installers, ceiling tile installers, and tapers	taper	4.2	male_dominated	0.042	0.958	Natural resources, construction, and maintenance occupations	6.0			Construction and extraction occupations	4.3
Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers	mobile equipment mechanic	4.2	male_dominated	0.042	0.958	Natural resources, construction, and maintenance occupations	6.0			Installation, maintenance, and repair occupations	4.5
Industrial and refractory machinery mechanics	industrial machinery mechanic	4.4	male_dominated	0.044	0.956	Natural resources, construction, and maintenance occupations	6.0			Installation, maintenance, and repair occupations	4.5
Automotive body and related repairers	repairer	4.9	male_dominated	0.049	0.951	Natural resources, construction, and maintenance occupations	6.0			Installation, maintenance, and repair occupations	4.5
Crane and tower operators	crane operator	5.1	male_dominated	0.051	0.949	Production, transportation, and material moving occupations	24.5			Transportation and material moving occupations	21.7
First-line supervisors of construction trades and extraction workers	construction supervisor	6.0	male_dominated	0.06	0.94	Natural resources, construction, and maintenance occupations	6.0			Construction and extraction occupations	4.3
Stationary engineers and boiler operators	stationary engineer	6.2	male_dominated	0.062	0.938	Production, transportation, and material moving occupations	24.5			Production occupations	28.8
Other installation, maintenance, and repair workers	installation worker	6.3	male_dominated	0.063	0.937	Natural resources, construction, and maintenance occupations	6.0			Installation, maintenance, and repair occupations	4.5
Telecommunications line installers and repairers	telecommunications installer	6.3	male_dominated	0.063	0.937	Natural resources, construction, and maintenance occupations	6.0			Installation, maintenance, and repair occupations	4.5
Sheet metal workers	sheet metal worker	6.3	male_dominated	0.063	0.937	Natural resources, construction, and maintenance occupations	6.0			Construction and extraction occupations	4.3
Aircraft mechanics and service technicians	aircraft mechanic	6.9	male_dominated	0.069	0.931	Natural resources, construction, and maintenance occupations	6.0			Installation, maintenance, and repair occupations	4.5
Computer network architects	computer network architect	7.1	male_dominated	0.071	0.929	Management,  professional, and related occupations	52.3	Professional and related occupations	57.4	Computer and mathematical occupations	26.4
First-line supervisors of landscaping, lawn service, and groundskeeping workers	landscaping supervisor	7.1	male_dominated	0.071	0.929	Service occupations	57.5			Building and grounds cleaning and maintenance occupations	40.7
First-line supervisors of mechanics, installers, and repairers	mechanic supervisor	8.0	male_dominated	0.08	0.92	Natural resources, construction, and maintenance occupations	6.0			Installation, maintenance, and repair occupations	4.5
Cutting, punching, and press machine setters, operators, and tenders, metal and plastic	machine setter	8.6	male_dominated	0.086	0.914	Production, transportation, and material moving occupations	24.5			Production occupations	28.8
Pest control workers	pest control worker	8.7	male_dominated	0.087	0.913	Service occupations	57.5			Building and grounds cleaning and maintenance occupations	40.7
Radio and telecommunications equipment installers and repairers	radio equipment installer	9.1	male_dominated	0.091	0.909	Natural resources, construction, and maintenance occupations	6.0			Installation, maintenance, and repair occupations	4.5
Broadcast, sound, and lighting technicians	broadcast technician	9.2	male_dominated	0.092	0.908	Management,  professional, and related occupations	52.3	Professional and related occupations	57.4	Arts, design, entertainment, sports, and media occupations	50.8
Aircraft pilots and flight engineers	aircraft pilot	9.6	male_dominated	0.096	0.904	Production, transportation, and material moving occupations	24.5			Transportation and material moving occupations	21.7
Computer, automated teller, and office machine repairers	computer repairer	9.8	male_dominated	0.098	0.902	Natural resources, construction, and maintenance occupations	6.0			Installation, maintenance, and repair occupations	4.5
Parking attendants	parking attendant	9.8	male_dominated	0.098	0.902	Production, transportation, and material moving occupations	24.5			Transportation and material moving occupations	21.7
Aerospace engineers	aerospace engineer	10.5	male_dominated	0.105	0.895	Management,  professional, and related occupations	52.3	Professional and related occupations	57.4	Architecture and engineering occupations	17.2
Construction managers	construction manager	10.5	male_dominated	0.105	0.895	Management,  professional, and related occupations	52.3	Management, business, and financial operations occupations	45.7	Management occupations	41.8
Architectural and engineering managers	architectural manager	10.6	male_dominated	0.106	0.894	Management,  professional, and related occupations	52.3	Management, business, and financial operations occupations	45.7	Management occupations	41.8
Painters and paperhangers	painter	10.8	male_dominated	0.108	0.892	Natural resources, construction, and maintenance occupations	6.0			Construction and extraction occupations	4.3
Refuse and recyclable material collectors	refuse collector	11.3	male_dominated	0.113	0.887	Production, transportation, and material moving occupations	24.5			Transportation and material moving occupations	21.7
Mechanical engineers	mechanical engineer	11.4	male_dominated	0.114	0.886	Management,  professional, and related occupations	52.3	Professional and related occupations	57.4	Architecture and engineering occupations	17.2
Construction and building inspectors	construction inspector	11.5	male_dominated	0.115	0.885	Natural resources, construction, and maintenance occupations	6.0			Construction and extraction occupations	4.3
Taxi drivers	taxi driver	12.6	male_dominated	0.126	0.874	Production, transportation, and material moving occupations	24.5			Transportation and material moving occupations	21.7
Electrical and electronics engineers	electrical engineer	12.7	male_dominated	0.127	0.873	Management,  professional, and related occupations	52.3	Professional and related occupations	57.4	Architecture and engineering occupations	17.2
First-line supervisors of police and detectives	police supervisor	12.8	male_dominated	0.128	0.872	Service occupations	57.5			Protective service occupations	25.2
Police officers	police officer	14.2	male_dominated	0.142	0.858	Service occupations	57.5			Protective service occupations	25.2
